,tweet
12,"انا نفسي ارخم علي ابويا بسبب الخمسة الي خدهم الاهلي من صنداونز ، بس انا مش ضامن غنوة واشرف عبد الباقي وسيف الدين قطز في ماتش بلوزداد الجاي ف انا محترم نفسي 
لو كسبنا، وحياة امي كل يوم هفتح فيديو الخمس  اجوال وانا قاعد معاه وبعدها هجيب فيديو بتاع الواحد ربك هو الواحد 😂"
13,قسم بالله فضيحه اليي حاصل في الدوري😂😂😂
14,من المركز السادس لحد المركز ال١٤ فيه ٩ فرق متخيل الزمالك مكسبش حد فيهم 😂😂😂😂
15,ابن اللىوة بيشاور عشان يتباصاله الكورة فاكر نفسه مهاجم بجد 😂
16,"ركلة جزاء للهلال ولكن متأكد هتضيع 😜🤭😂😂😜😜😜
#الهلال_صنداونز
#صنداونز
#صنداونز_الهلال
#دوري_أبطال_أفريقيا"
17,الحكم عمل سلكت اول 😂😂
18,قلتها وبعيدها وفضلوها وخذوها مني جارسيا ماشي ماشي قبل نهاية الدوري اذا الادارة ما اقالته راح يفصخ عقده او يشوف له طريقه وتذكروا كلامي والتغريده موجوده لنهاية الموسم🤪😉 @ALMRISEUL #طرد_جارسيا_مطلب
19,"بعد كلام خالد مرتجى عن اللى حصل معاه فى قضيته ضد رئيس الزمالك
اظن كده الشعب كله أيقن بيقين تام من يحمى مرتضى منصور 😉👌

سعد زغلول قالها زمان 😂👇
"" مفيش فايده """
20,"ميكيسوني جاب جول ماركة محمد صلاح!!
صدق او لا تُصدق .. 😉😀
#الاهلي_سيراميكا .."
21,"#الارجنتين_فرنسا
اقترح على المدرب الفرنسي ينزل المنتخب السعودي الشوط الثاني😉"
22,"حد يقول لشيكابالا يزود مزيل العرق بكرة عشان تشاد حر والعرق هيبقا زيادة 😉
#السادسة 
#الزمالك"
23,"#الاهلي_الرياض فيه اهلاوي طلق زوجته ليه ؟

قالت نبي نروح الرياض 😂😂😂😂😂😂😂"
24,"يقولون ابها تجاوز حدوده وسجل الاول😂

يا ويلهم من الحكم والمراقبين والناقل وادارة الملعب يمكن حتى حامل الكور ما يعطيهم الكور 
#الهلال_الاتفاق #النصر_ابها"
25,"جوووول جووول من مرتنيلي. اه يا مرتنيلي اه 😂😂😂

ارسنال 2 / 0 فولهام 

#ارسنال #الدوري_الانجليزي"
26,"المحيط اشتروا كم لاعب علشان يعتدل وضعهم و ينافسوا على البقاء في الدوري اول مباراة لهم انصكوا فرق ٢٠ مادري كم من الخليج 😂 يا ساترر
#دوري_الأمير_فيصل_لكرة_اليد"
27,"توقعات ايه اللي بتقولها في #كاس_العالم 😏انتوا
فاكرينها انتخابات من بتاعة حمدين صباحي 😅😅
على مانطبع الورقة 😉😅
اسكتوا وهاتوا #اتحاد_الكورة_المصري 😏😏
يتفرجوا على خيبتهم وخيانتهم🤫🤚

#الاخضر_السعودي #تونس ....إلخ"
28,ليست الاحظ مسالة حظ اعطني حظ الاهلي وارميني في البحر😉😅
29,"٢٠١٥: شباب الأهلي يقصي الهلال .

٢٠٢٣: الهلال يقصي شباب الأهلي .

الثأر لا يموت بل يسترد 😉💙💙."
30,"#كأس_الملك_سلمان_للاندية
شكل الحكم مايعرف الفرق بين اليد والقدم 😂😂"
31,😂😂😂😂 الاهلي مثير للشفقه بس برضو ماشفقت عليه
32,"#الاهلي_الرياض

نواف الحبشي جاب الثاني @kanaan_alkanani 

مدرسة يابو عبدالرحمن 😂😂"
33,مبرووووووووك الدوري ياعشااااااق 😂😂😂😂😂😂😂😂🌹 #برشلونه_ريال_مدريد
34,تخيل الزمالك كان خسر من الهلال ٣ والا ٤ 😂الماتش خلص تعادل وخسرنا بضربات الجزاء يعني حظ وعادي مبروك انت بقي يا ثالث فرحان فرحه الجعان في سوق العيش ليه 😉😂
35,"#الزمالك_غزل_المحلة

جمهور الزمالك في مباراة غزل المحلة يشتم اللاعبين ومرتضى منصور وابنه الكتكوت : الزمالك بيضيع.. يا شوية جرابيع!!! 😉"
36,الحكم داخل ومعبين راسه😉
37,"#رومارينهو

الاتي يشد حيله خلال الدوري والنهاية صفر        

اهم شي عنده يفوز على النصر 😂😂"
38,"عدلي القيعي:

بيسمحوا لجمهور الزمالك إنهم يدخلوا المدرجات بأعداد أكثر من العدد المسموح بيه علشان يستشهدوا بكدا ويقولوا شعبية الزمالك أكثر من الأهلي!!!

مفتري عدلي ده 😉😂"
39,"بالمناسبة قبل مانقفل صفحة الماتش السخيف دا الاهلى والزمالك قدموا مباراة عاديه جدا بالعكس الزمالك كان أفضل لحد غلطة الوردى فى الهدف الاول وطبعا مع خروج فتوح كمان .
ثانيا أكرم كان أقل لاعب فى الاهلى وإمام عاشور كان ممسحة النجيله بس النتيجه مأظهرتش ده ..
واخيرا نتقابل قدام شوية 😉"
40,"الحقيقة أن في ناس بتعترض على كل حاجه في النادي الأهلي سواء كانت كبيرة اوي صغيره مش سايبن الإدارة تشتغل وكل من هب ودب عمال يعدل ويقترح وكأنهم كانوا رؤساء نوادي مش معقولة ياجماعه كدا من فضلكم سيبو الإدارة تشوف شغلها أنت كامشجع دور المساندة والدعم فقط 😉😉😉
@MegallyPeter 
انفع😂😂"
41,"💞قد يكون النمر والأسد هما الأقوى
ولكن الذئب لا يؤدي عروضاً في السيرك😉💞

#تيم_المصطبه
#إستاد_الزمالك"
42,الي يشوفهم على زعلهم ذا بيدعمون جون وهم مادروا عن تعاونه الا لمن تكلمت سويون حتى ماتعبوا نفسهم ينزلون التاقات بس انتقدوا وراحوا 😂
43,"والله مهاجم باير لفركوزن مسكين هههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه 

لاعبنا تزحلق عليه وعطاه الحكم كرت اصفر عشانه يمثل بعدين رجع للفار والغى الكرت وحسب بلنتي وسجله

والحين صار نفسسس الشي مرة ثانية😂😂😂"
44,عايزين نشوف ولاد الوسخة الاعلاميين هيبرروها إزاي خلي الزمالك مكانه لما يكون عندك حد ابن وسخة واخد رعاية واعلام واتحاد وبرامج وكل حاجة وكل مرة يروح يتركب خمسة يبقي ده اسمه ايه عايزين نشوف شوشو وسيف وتامر وموسي والشلة الوسخة هيعملوا إيه أكيد طبعا هنشوف الوساخة كلها 😉😉كل الدعم 🤣
45,لما انت عامل فيها عم نصحي ع كهربا ياهاني بيه حتحوت مكناش بنشوف نصايحك دي مع شيكابالا اللي غلط مليون مره ف جماهير الاهلي ومشوفتش شيكابالا وهتافو مع جمهور الزمالك ولا انت مبتشوفش الا الاهلي بس عشان تبقي ترند والناس تتكلم عليك خليك محايد بمهنيه ولا بتخاف😉
46,مين اولاد المسؤولين المهمين. متخلوش دماغنا تسوحنا🤔🤔🤔😉😉😉#انقذوا_الزمالك_من_عباس
47,"مشغل ماتش البنك وبيراميدز ف الكاميرا جت علي محمود قاعود وهو بيتكلم مع الحكم ف قولت ايه دا هو لسه بيلعب يااااه 
مفيش دقيقتين وجاب الجون التاني 😂😂😂"
48,"اصابة أوسبينا ربما تكون البدايه في كشف دفاع اصفر العريجاء  
الموضوع سهل رجع الظهير  هذا بدل هذا 😇
الدعوه كلها سوالف ولعبة بلوت😉 
قدامه العافية الحارس ونشوفه ان شاء الله الموسم القادم #النصر_الشباب"
49,الحارس ابن الوسخة باع الماتش 😂
50,"ههههههههههه مالمسه و عطاه فاول و كرت 😂😂😂
حتى مع الحكم الاجنبي ممنوع الاقتراب من كرستيانو"
51,جماعه اللي بيقول الكوره مش اسكريبتت فلاح 😂😂
52,كل ما افتكر ان ويليان راح يحوش ميتروفيتش عن الحكم اتقتل من الضحك، اللي عامل الكارثة نفسه بيسلك بين ميتروفيتش والحكم 😂😂😂😂
53,"#النصر_الباطن ١٢ دقيقه وقت بدل ضايع ؟
يعطونهم كل شي عشان ياخذون الدوري .. 
بالنهايه عميدنا يجلدهم تذكروا كلامي 😉😂."
54,"يؤدي مرور التيار الكهربائي في الجسم إلى توليد الحرارة مما يُسبب حروقًا ويُخرب الأنسجة. يمكن للحروق أن تؤثر في الأعضاء الداخلية فضلاً عن الجلد.
تصبحون علي خير 😴😴😉 #الزمالك"
55,"في اهلاوي طلق زوجته ليه عشان قالتلو ابغى اسافر الرياض🐸😂😂😂😂

#دوري_يلو #الاهلي #الرياض #الاتحاد #دوري_روشن_السعودي #الهلال #النصر"
56,"هاردلك كابتن هيثم فاروق 😂

أشهر جملة في استديوهات بيين سبورت

#الزمالك_بلوزداد"
57,يللا حبايبي ركزوا على الدوري اللي ما هتشيلوه ده 😂😂
58,"خايفة بعد التحفيل على الاهلي كل دا
نصعد تاني وصن داونز تصعد اول وتلاعبنا وتدينا نفس الخمسة 😂"
59,قولوا يا رب 🤲 إن #ماجد_النفيعي بعد #استقالته من #سيرا يترأس نادي #الهلال او #الاتحاد او #الشباب لانهم يمجدونه في عمله 😉 #الاهلي #النصر 😀
60,"اشبه #الاهلي بنشر ؟؟
#الرياض صقعه بهدفين .. جلد فاخر ..
الجدير بالذكر #البكيري حاضر اللقاء 😂"
61,"#ميسى بعد الفوز ب #كأس_العالم:-
ربنا حقق لى نصف أحلامى، النصف الآخر
أتمنى أن اختتم حياتى فى الملاعب
بجوار #الاسطورة #شيكابالا 😉😂😂😂
#الزمالك 😁😁😁
🔥 #RomaAny 🔥"
62,"مصيرنا بقي  فى ايد الأهلى 
يارب استرها 🥹😂"
63,"أعلن بتبرعي 99999 تذكرة 🎫 وسوف يتم التوزيع في المدرجات بالقرب من المرمى 😎
لو رفضوا دخولك قولهم بدخل أجيب تذكرة واجي 🤪

أحاول أقلد ذوليك الي يدعم وقت ما يعرف إنك خاسر 😉
 #الأهلي_جدة"
64,لن يرتاح الحكم الجريس حتى يسجل هدف للنصر في الشوط الثاني 😉 #النصر_الباطن
65,اقسم بالله اني قلت هذا اللاعب ٩٠٪ مقلب قبل ان يلعب ولا ١٠ دقايق واول مالعب ومن اول لمسة صارت القناعة عندي ١٠٠٠٠٠٠٠٠٪ انه مقلب المقالب 😂 وقتها جمهور للاهلي الحبيب يقولون جانا ضالة الاهلي جانا حسبي على من اخترع المساحات اللي مافيها الا ناس بس تهرج بدون فكر  ههههه   #الاهلي_الرياض
66,الدوري السعودي باشتراك هل راح تشترك؟؟😉
67,قائمه الزمالك لماتش بيراميدز تواجد بيها دونجا ل اول مره مع عوده شيكابالا واستمرار غياب الجزيرى 😉
68,😂😂😂😂😂 فضيحة الدوري السعودي #النصر_ابها
69,"أنا فاكر ماتش كدا كان ب ٣ نقط في أول الدوري كان فيه كام واحد كدا عمالين يزيطوا بيه 
مقولتليش بقى يا حلو منك ليه عملتوا إيه 
منا قلت الراجل يضحك في الآخر 😉👌"
70,اووووب طردين الحكم تحمس 😂
71,"هههههههههههههههههههههههههه طرد البليهي يبغى يضحك ع الحكم الحكم اجنبي ياهوه😂😂😂😂😂😂😂😂

#الهلال_الفتح"
72,"رابطة الأهلي في الدقيقه 75 تغني 
""خسارة يا خسارة ، اذا ضاع الوفاء منكم""
طيب وين ( راجع يجدد المواجع 😂😂)"
73,"غير الازرق من يطوله🏆
الفعل فعل الهلالي💙
والحكي كلٍ يقوله😉 
 #الهلال_الزمالك"
74,"-

فرحة #كريستيانو الهستيرية تفكرونها بتحقيق الدوري لا غلطانين هي فرحة الفوز ع نادي #ابها إذ يعتبرها النجم البرتغالي بأنها كلاسيكو، مايدري ان ابها مع كامل إحترامي وتقديري لكل عشاقه في مُتذيّل الترتيب .
لكن فرق بين نادي يريد الدوري ونادي يفرح بفوزه على اندية صغار 😂🔥.
#الاتحاد"
75,"ياعيني لما #الزمالك يلمولوه حكام عبيد ليهم ونوادي تبيع ليهم الماتش علشان يقفوا في السبنسة من غير كسوف 😂😂😂😂😂

انا همووووت من الضحك على فرحة وافورة اللعيبة كأنهم بيلاعبوا البرازيل او قال يعني جابوا اجوان بجد او ماتش بجد دي #سموحة يعني وبايعة😉"
76,"#الأهلي_نجران
الإدارة في الشتوية ملزمة بجناح أيسر وراس حربة  ودرع وكيكه لوداع غرابان والمؤشر 💚😉"
77,"احمر على باستوس يا حكم واضحه 😂😂

#الأهلي_الرياض"
78,الواحد في الملعب بيكون يجري ويلعب عالموت بيروح عالبيت ولما التعب يرخي عليه بيقول انا مالي ومال الكورة ايش جابرني عالعذاب هاد!! بأرجع بأجاوب نفسي وبأقول بحبها يا بابا 😂
79,يذكر ان الزمالك 🏹 بطل الدوري نسخة اللي فاتت ومفيش لي اي رعايه ، احنا بسم لله ماشاء الله الرعايه نزله بتمطر علينا .. عرفته الفرق ولا لسه اظن بقيت واضحه زي الشمس .👌😉
80,الثاني اللي ما ربته الكورة ياربيه النصر😂🔥🔥🔥💛💛💛💛💛💛💛💛
81,مجهودي الفتره اللي فاتت كله جنيت ثِماره وانا ماشيه مع زهرا اول امبارح في الزمالك وورانا ولد وبنت ألمانيين وبترجم لزهرا اللي بيقولوه والإنسان عايز يبوس نفسه مليون بوسه علي كل مره حاول فيها وقعد زي الشطور يذاكر ويدور بنفسه بعيدا عن دكاتره الجامعه اللي ربنا يسامحهم 😂🤍
82,تشجيع الزمالك هو عقاب رباني لينا ع كل الخطايا اللي بنعملها في حياتنا ... والحل هو أن ربنا يتولانا برحمته 🙏
83,"عاجل .. بات في حكم المؤكد استقالة اسامة نبيه المدرب العام لفريق #الزمالك في أعقاب مباراة #الترجي يوم غد الثلاثاء.
وعلم أن مجلس الزمالك يلوح بإقالة #فيريرا من منصبه في حال الخروج من افريقيا مما يدفع الأخير لرفع عدة قضايا لدى الفيفا أبرزها مستحقاته المتأخرة والشرط الجزائي 😉"
84,من الاخر. من الاهلي لمرتضي منصور شكرا لحسن تعاونكم معنا. الكرسي حلو يجماعة ولة تمن ولا اية 😉😉😉😉😂
85,"صحيح الدوري طويل والنصر قادر لكن باذن الله يتعثر في باقي المباريات الافضل بالنسبه لي لعب الاتحاد وهو من يستحق الدوري بدون دفدفه تحكيم محلي و12دقيقه الظالمه😉 

#النصر_الاتحاد"
86,"انا مش عايز اهداف تاني والله نفسي يخلص كده علشان سلك الكهرباا يلمس وتحصل حريقه ف مية عقبة اقسم بالله 👌🤭😂
@MKahraba
#الاهلي_الزمالك
#المشاكس😉"
87,"هندرسون ع الاقل في بداية الدوري غلط ولسا المنافسة ما بدأت
ما أعطاها زحليقة وضيع على فريقه الدوري فاهمين عليّ يا سكاوز صح😉😉😉"
88,"صلاح غير كايلوح رجلو راها في الشبكة 😉
محمد صلاح الهداف التاريخي لي ليفيربول في الدوري الانجليزي 🫡
يستحقها الفرعون 🙏🏽
#ليفير_يونايتد"
89,الحكم دة بايظ فشخ 😂😂
90,الرابطة عايزة تغير شكل درع الدوري استجابة لشكوي الدرع القديم ولا علشان اسم الاهلي اكتر علي القديم فعايزين نعمل واحد مش عليه اسماء ونبدأ من الاول نعد اللهم اخزيك ياشيطان بتوسوس بكدهون😉😉😉😉
91,هو شلبي مالو دايب في ابتسامة الحكم عبد الرحمن الجاسم كدة ليه😉😉😂
92,"بعد شكوى الأهلى طبعاً حضراتكم كالعادة هتعملوا مداخلات لمسؤولي الهلال عشان يوضحوا وجهة نظرهم ورأيهم الحر في الشكوى 😉 طبعاً مهنية وكدة
@HHathout 
@IbrahimFayek 
@midoahm"
93,"الأهلى بعت جواب ل اتحاد الكره بيطالبه بالتحقيق في الأخطاء التحكيمية التي وقعت ضده وأنه يطالب بالعدالة

لعبتهم المعتاده لما يقعوا يبتدوا يضغطوا على التحكيم ويدعوا المظلوميه ويكونوا كالعاهره التى تتحدث بمثاليه عن الشرف😉"
94,"بيقولك ميدو هيمسك الزمالك ... 😂😂😂😂
 اه يا ولاد الوسخه"
95,"ماهو الهدف من مشاركة وزراء من المجلس الانتقالي في حكومة الشرعية ؟
ارجو ان لاتكون الاجابة لكي يتعلموا فنون الحكم و ال....... 😉
نقول ذلك لانهم في الحقيقة وبإختصار شديد  وجودهم زي عدمه ولم يقدموا شيئا يذكر من اجل المواطن ."
96,"نادي مضر @mudharclub السعودي يطلب اللعب مع #الزمالك في #كاس_لوسيل لكرة اليد بعد هزيمتهم من #الأهلي المصري في #Super_Globe باعتبار @ZSCOfficial هم #ملوك_الصاجات في مصر
😎😉🦅💪🦅😉😎
🏹🚲🇦🇹
#اهلاوى_نتابع_بعض 
#اتحاد_علام_خدامين_الزمالك 
#الاهلي_مش_للبيع 
#قاطعوا_اعلام_السبوبة"
97,"تكفون عينكم على فيليبس 😂😂😂😂، والله لو نعطي فرصة للاعب شاب يكون افضل

اللاعب غلط والله حتى حلاقته 😂😂😂😂"
98,"لاتفوتك 😉
عروض #الأهلي_الطبي
الآن.. ولفترة محدودة
3 جلسات ليزر 🤩 بـ 960 ريال
.
#لأننا_نهتم"
99,"يحضر الجمهور  #دوري_روشن ومباريات الاندية الكبيرة #الهلال #الاتحاد #الشباب للمتعه ومتابعة كرة قدم وتشجيع كيانات تاريخية
اما في مباريات ضمن الدوري يأتي الجمهور لمتابعة niiiiiiii  😉 وليس للكيان وتعتبر هذه المباريات ترفيهيه كأنك رايح البوليفارد او واجهة الرياض"
100,"الحبايب لعبوا النهارده وكل فريق فيهم خسر نقططين من الدوري
الطموح حلو و البليله احلى 😉
إذاََ فل نتمنى لهم الأسوأ و المزيد من فقد النقاط
الاجيبش ليج ولع 🔥"
101,"#جدة_الأهلي 
هدف   ايطالي    ياهيثم   مين قدك 😉😉
💚💚💚💚💚💚💚💚💚💚"
102,المتضرر الاكبر من انتقال كريستيانو رونالدو الى النصر هو اللوبي الازرق… الحين عيون العالم بتصير على الدوري يعني ممنوع التلاعب 😉💛
103,جه عليا الزمن اني اقعد اتفرج علي صن داونز والهلال واعصابي تتعب كله علشان الاهلي يهون 😂😂
104,#النصر عندة #كرستيانو_رونالدو  ليش ما يلعب  بديل لنادي #الشباب في دور الثمانية امام #الدحيل  يجي النصر ويقول هذا نجمي #كريستيانو  ويلعب وهذا شرف ل #دوري_ابطال_اسيا  والاتحاد الاسيوي حتى الحكم لازم يكون محلي دعم للحكم المحلي و #الطريس جاهز 😉😂😂 غرد على طريقتهم 😂😂
105,"اقسم بالله الدوري المصري مضحك 😂
لازم مرجان احمد مرجان يفوز"
106,تذكرون جماهير الريال يوم رددت تشافي استمر تشاقي ابقى تعرفون شصار بعدها اخذ عليهم السوبر جلدهم بالكاس ، حسم الدوري من مارس وقدامهم 😂💙❤️
107,"كل الناس عرفت انك تبي ركبة ميشيل يا بيتروس 

الحكم الي ما يدري عنك بس 😂

 #الهلال_الفتح"
108,انا شايف نخت الكورة واطه ي جماعه البيت بقا كلو قزاز والناس شايفه 😂😂
109,"لحد الآن وباستثناء ريال بيتيس لم نرى ريال مدريد يواجه بعد فرق أقوى ومن عيار سوسيداد أو فاييكانو أو حتى إشبيلية الذي يملك أسماء جيدة جدا 
- هجومهم عبارة عن فرديات برازيلية مع بن زيمة + الحارس كورتوا 

مباراة الديربي ضد الأتليتي لنراههم ماذا عساهم فاعلين وغذا لناظره قريب 😉"
110,هو تقريبا كده لعيبة الزمالك دي مش بتتدرب مع بعض. تحسهم لسه بيتعرفوا علي بعض قبل كل ماتش 😂
111,"في مشكلة في ان الكورة توصل ل هالاند وده واضح اوي اخر كام ماتش بس الفكرة لو وصلتلوا كور هيحط كام هدف من بيجيله
دي الفكرة حابب تخاطر قدامها اخلص من هالاند ووفر فلوسه 😉"
112,"افضل صفقه لهم الحكم المحلي 😉

#النصر_التعاون"
113,"الأهلي هذا الموسم أقوى هجوم 62 هدف وأقوى دفاع 21 هدف وأكبر فارق أهداف عن الأول والثاني ومتفوق عليهم فى المواجهات المباشرة🤔😉
سبحان الله
اللي طلعنا بيه الموسم ده هو الناشئين الجامدين
ميدو نبيل
أحمد سيد غريب
زياد طارق
واللي زعلنا اعتزال وليد سليمان
#شكرا_الحاوي_وليد_سليمان"
114,"الدوري الانجليزي شوارعي
لذا هالاند لا يخيفنا
بكرا ماني يتسلل ٤ مرات 😂
قصدي يسجل ٤ اهداف"
115,رحلت ملكة بريطانيا هل يتأجل الدوري السعودي 😉
116,جافي مستعد ينتحر عشان الكورة 😂😂😂😂😂
117,"فقدنا الدوري في الموسم الماضي ثم هبط الأهلي في نفس اللحظة فهوَّن علينا .. 

اليوم تم إيقاف طارق حامد لمباراة واحدة و بعدها مباشرة تم إيقاف النادي الأهلي فترتيّ تسجيل .. 

شعور الضحك و البكاء معاً يا جار 😂"
118,"بطولات الاهلى فى وجود بيبو القاريه والعداله التحكيميه والفار ٢ دورى ابطال ٢ سوبر افريقي ٢ برونزيه كاس عالم 
بطولات البليله فى عهد الزلنطحى القاريه والعداله التحكيميه والفار صفر صفر صفر صفر
اذا وجدت العداله لا توجد مقارنات بين زعيم القاره الاهلى وحصالتها البليله😉👌🦅🦅🦅🦅"
119,"الزمالك دا فريق طيب والله
تخيل ان بلوزداد صعد ب 9 نقاط منهم 6 نقاط من الزمالك 
😂😂😂"
120,"نفس سيناريو الباطن عطوه الحكم و ١٢+
😭😭😂😂😂😂😂

#النصر_ابها"
121,سمعت ان فريق الزمالك في كرة الطايرة جامد والله وبلاش من كرة القدم خالص😂
122,"1
لقد جعل الماكياج لابراز مناطق الجمال في وجه المراة(ولاهداف اخرى طبعا😉)
والماكياج الجميل هو الذي تكون الوانه اقرب للاوان الطبيعية التي في الوجه
اما في عصرنا هذا فالمراة لم تعد انسية بل اصبحت دمية واحيانا""عبيثة""ترعب الكبار قبل الصغار
بحواجب غليظة اشبه بحواجب ابا الحكم"
123,"جلدناهم و انتزعنا الصدارة منهم
صاروا يتمنون الفتح يرجعها لهم

النتيجة : نزعنا صدارة الهدافين منهم فوق صدراة الدوري 😂

الفقر فقر
#الاتحاد_الفتح #النصر_ابها"
124,ايه يجدعان هو احنا مش ورانا غير فرق الدوري الاسباني ولا ايه  يعني اليونايتد رابع فريق اسباني يلاعبه السنه دي ف الدوري الاوروبي وبالنسبه للريال واخد توكيل لفرق الدوري الانجليزي كلها هو في ايه باقي الدوريات كلها راحت فين ؟ 😂😂😂
125,"انتظرو رح تشوفون سميحان الناتب والرشيدي وعطيف في ناديهم بحجة ناخدهم حنا ولا ياخذهم غيرنا ..
احنا وانتم يا #الاهلي واحد😅
والله من يوم شجعو #الاهلي و #الاهلي من كارثه في كارثه 😂😂😂😂
كان الله في عون جمهور #الاهلي"
126,"البرتغال تكسب ١.٦😉
والبرازيل عوزا تكسب البطولة السادسه🤷 
ومصطفى غربال بيحكم في كأس العالم🤔.
كاس العالم  عاوز ايه من الزمالك 🚨 😂😂😂"
127,"اليوم مباراة #الهلال_الفتح

يا ليت الحكم يشد حيله معنا ،،، مثل العادة يعني 😎😉"
128,"الڤار اتعطل وضربة جزاء من اوى صفارة واللاعب بيحضن الحكم وكلاتبيرج مشي والعب بقه 😒
هنشوف دور تاني عجب اقسم بالله ✋
#المشاكس😉"
129,"الليلة للرجاله الأهلي وأسوان يكسبوا النسوان 👌💪♥️😂😂
#المشاكس😉"
130,"هانى حتحوت 
الاهلى رصد 2 ونص مليون دولار للمدرب الاجبنى الجديد وجهازه المعاون 😉

يعنى 50 مليون جنيه فى السنه نسألكم بقا منين الفلوس دى زى ما بتهروا الزمالك جاب منين فلوس زيزو فكر كأنك بيب بيب 😂"
131,"صدارة من غير خسارة 😉
الأهلي السنه دي مبشر جدا إن شاء الله الدوري أهلاوي 🦅🔴🦅
#الاهلي_غزل_المحلة"
132,"دي حجه عشان ما تخسرو او تتعادلو تقول العيب في الحكام 😉😉
#التحكيم_المصري_ضد_الاهلي"
133,"جمهور الزمالك في ستاد القاهرة عامل الواجب مع اللاعيبة والادارة والجهاز الفني 😂😂😂
انبي 2
الزمالك 0

#الزمالك_انبي"
134,"في نادي اوروبي يدعي المصداقية والمبادئ والقيم حرض لاعب بحيث يحتج ع ادارته ويطالب بكسر العقد ويدفع كامل المبلغ التصرف هذا ذكرني بالمرة اللي تركب اكثر من سيارة وتقول انا شريفة 😉 . 
#الاتحاد  #النصر #الاهلي"
135,"النصراوين لا تزعلون هم ضيعو الدوري والفارق اكثر من عشر نقاط ما يضيعونه والفارق نقطه 😂😂
عاد في حال تدخل الشاي ورش الملعب هذا شي ثاني 🙂💔
واضح يبون الدوري بأي طريقه"
136,عشاق الدوري الاسباني والايطالي اكثر ناس يفهمو الكرة 😉
137,#الاهلي_الرياض 😂😂😂الرياض راجع بقوه للدوري
138,"أنا ملاحظ حاجه غريبة ف تعاقدات الأهلي الفترة دي ان اغلب الاجانب اللي بيختارهم كلهم كبار يعني ٢٨ و٢٩ سنه بصراحه انا مش خبير بس حاسس ان في حاجه غلط اخر لاعب صغير ضمناه كان ديانج والمفروض اننا نجيب لعيبة صغيرة علشان نبنبي فريق للمستقبل ولا انا اللي غلطان🤔
@AlAhly
#المشاكس😉"
139,"شكل منتخبنا هو الي يبي يتعود على الأجواء 😉 ؟
تذكرت #الاتحاد عسكر في أوروبا وأول مباراة لعبها  في الدوري بعد العودة أنهزم في جدة ؟ وعندنا سألوهم ليش ؟ قالوا ؛ ما تعودنا على أجواء جدة 😷
،،،،،،،،،،،،، 
#الاهلي #الاتحاد #النصر #الهلال 
#المنتخب_السعودي"
140,"في الشوط الثاني الهلال يتم تغيير كل لاعبين الفريق من الحارس الى الهجوم  دعونا نرا قوة لاعبين الاحتياط 😉💙.
#الهلال_الميريا"
141,الكورة تبغاه 😂😂😂
