,tweet
22,اذا خرج اللاعب الهلالي غاضب من التبديل تجد الاعلام الهلالي يقول حرص من اللاعب على الاستمرار واذا خرج لاعب نصراوي وتصرف مثل الهلالي تجد الاعلام يقول تعالي على المجموعه وخلل اداري. شخصياً اصدقهم هههه
23,هههه الحكم مضحك ههههه مسخرة التحكيم مبارة الستي لايبزج
24,يعجبوني جماهيرنا وهم معطينها وضعية سييييييييي لا سجل هدف ميشاييل هههه💙
25,"موسيماني وصل الأهلي كاس عالم ٤ مرات 
مرتين معاه 
ومرتين وهو سايب الفرقة.

والله كلك مميزات بس لو تصير أبيض اللون هههه"
26,"قالو الأهلي دارو طعن في سالم روما 
.
قالو هضا طلعنا من قبل فالكاس المفروض معش إيطلعنا أخرى هههه"
27,الصليهم هههه ايحاور نفسه يلف ويدور في منطقة دفاعنا لو عملها امام فريق كبير كان هالحين هدف في مرمانا لاعب منتهي فكريا
28,الطواقي اكيد هلحين حكم اجنبي مالهم الى يطالبون بايقاف رونالدو لانه كان زعلان  ليه يزعل في دورينا ليه مايحترم الدوري هههه #النصر_ابها
29,"كريستيانو معطي الكورة لاعب ابها..
المعلق : كريستيانو يعطي الكورة بشكل مُمتاز هههه"
30,الصوالين فوتوشوب تدخله الصبايا مهاجم نيجيري وتطلع منه مشجعه روسيه هههه 🤣🤣
31,يلا بس طلع تسلل هههه
32,"#الأهلي_الرياض 
عزيزي الاهلاوي
هل تعلم أن عاصمه السعوديه هي الرياض هههه🤣🤣"
33,الڤار مخدم حتى بغاو يشوفو واش هدف راجا تسلل ولا لا هههه الحمد لله ماشي تسلل
34,هدف صحيح لبرشلونة هههه والحكم يبغى يلغيه
35,"#الاهلي_الرياض
سبق وقلت لكم دوري يلو ضعيف والدليل صدارة الاهلي لدوري.
هل بمثل هؤلا اللعيبه تريد الصعود ومنافسه اندية روشن هههه امرال وبارو وهشام فايق وعقودهم تمتد لسنتين هذا وان دل يدل على قلة خبرة الادارة.. 
ان شاء الله نصعد ونجلس سنين نبني فريق عشان ننافس في دوري روشن"
36,"لا أريد احباط جماهير النصر ولكن الدوري للاتحاد ومايفك صدارته حتى النهاية
من يفهم هذه اللعبة ويطرد عاطفته سيدرك أن الدوري حسمه الاتحاد الخميس الماضي في الجوهرة .
لانصر ولاهلال ولاشباب .

مهر الدوري غالي يا إدارة النصر أهم شي طلعنا بدون ديون وما استبدلنا الأوزبكي والأرجنتيني هههه"
37,هيثم هههه موهبة المجانين اللاعب نازل ويمررها وراه الله يحرق من جمعكم
38,حارس الاهلي هههه
39,الحكم انتوني تايلور هههه
40,"#رومارينهو
ههههههههههه سؤال بسيط بس 
ليش لجنة المنشطات ما تتحرك الا اذا خسر #النصر هههه
وليش روما بالتحديد 
اللاعب ماسوى شي كثير غير الهدف ورأسيه مصدوده كخطوره  
يعني ماقدرتوا عليه بالملعب 
اتهمتوه في انضباطه ومحاولات يائسه عشان يطلع ايجابي هههه
سمعني صياحك ماعليك"
41,عزتي للسيتي تابعت مباراتهم ولا سجلو هدف، طلعت من مباراة دورتموند وسجلو ٢ هههه
42,"بيقولك مرة لجنة التخطيط هههه
#الاهلي_يحصد_فشل_الخطيب"
43,طول عمري حاطط هدف قدامي وعايز احققه ، لما ركزت اكتشفت ان الهدف ده دخل ف الشناوي هو كمان هههه
44,إذا عندك هدف ف حياتك روح سجله في الأهلي هههه
45,الخطيب عمل الصح بعدم اشتراك الاهلي في البطولة العربية كان الاهلي هيخسر من جميع الفرق الأهلي اصبح مكشوف للجميع طريقه اللعب فاشله فاشله انحلال تام في جميع المباريات اول مره اشوف فريق منفق في كل المباريات عن بعضه خطوط متباعده جدا ولا هما هنا فريق تاني بيلعب وفالاخر هيقولو إرهاق هههه
46,ماتش الأهلي وصن داونز هيتعاد مع ماتش مصر و السنغال هههه
47,هههه الأهلي 😂😂
48,هههه الفقراويه ادلخ جمهور على وجه الكوره الارضيه هشتاق اعلامي يضرب مشجع طيب ومساعد مدربكم مدري مترجمكم وش سوا بجمهوركم رنه كف وانت تتفرج#اعلامي_يضرب_مشجع_في_المدرجات
49,"ياساتر عشر دقائق لقمنا هدف هههه على أساس انصدمت 🙂
#ريال_مدريد"
50,"الان يجوا اللي يقولوا شو يعمل المدرب 
ينزل يسجل؟

لا لا ما يعمل شيء

بس يخسر من فريق ترتيبه ١٧
مثل ما تعادل من سمبدوريا الاخير في الدوري

سبيزيا عنده لاعبين أقوى من الانتر 

هههه"
51,تسلل هههه #الهلال_التعاون
52,"#القادسيه_العربي

احلي شي في المباراة بصراحة

بعد ماتقدم العربي بهدف
جمهوره ازعجنا بهياطهم بالتشجيع

اكلوا هدف التعادل سايلنت هههههه

اكلوا الهدف الثاني دموع بالمدرجات هههه

جمهور القادسية مرعب ويستحق اكثر"
53,"#النصر_الاتحاد

الاتحاديين مقفلين مرماهم صح الي يبغى بسجل فيهم يجيب معاهم شيخ خبير في الرقيه الشرعيه وفك السحر هههه دعابه دعابه
عموما انا اتفائل في فوز الاتحاد علينا في الموسم الاستثنائي فازو واخذنا الدوري ان شاء الله الجاي افضل للعالمي💛💙"
54,"المطبلين مايبون الجمهور  ينتقد 

الإدارة ولا المدرب ولا اللاعبين

وبعد المباراة بثلاث ساعات 

يرجعون و ينتقدون الجمهور المقهور

و يقولون المشكلة بالجمهور اللي يقول رايه

والنصراوي الحقيقي يوقف مع الكيان 
هههه
جمهور #النصر اكثر جمهور وقف 

مع الكيان بالعالم كفايه قهر ٤٠ سنه"
55,هههه قسم بالله ما العبه في الدوري السعودي
56,"النصراويه بالمساحات ههه 🤣 

قامو يصايحون ويهاجمون الفريق
فشلتونا الله يفشلكم الفريق كله يلعب دفاع هههه 😝 وش خليتو
الفرق الضعيفه ماشفنا رونالدو
ولا سمعنا سي مي ري ههههه 🤣 
هو مع الباطن ماعمل شي تبغاه
مع الاتحاد يسوي شي 🤭

رجعتو لصياحكم والضجيج تراه
حكم اجنبي وماظلمكم ولا شي👌"
57,شطه ضحك على 4 مدافعين وصنع الهدف هههه بعدين روما غير ياجماعه هو من طلع الكوره من الركنيه ثم واصل لحد ماسجل الهدف رووووما وبس..
58,دوري خرا الدوري الهندي والقطري يتفوقون عليه فار ما يشوف بلنتي اه يالقهرر هههه
59,هههه مبروك لجمهور جارسيا .. استعرضوا حنتكم وأنكم متابعين قدامى للدوري الإيطالي وتغييرات المدرب صحيحة ما فيها شي .. اللي يقول أنها خاطئة هذا يحب الإدارة ويدافع عنها، جارسيا ودفاتره ما تخطئ .. ومسألة أنك تتنقد جارسيا فأنت أكيد تطبل للإدارة
60,الله يعين لجنه الانظباط علاتصريح مسلي هههه الحكم ضدنا
61,للمرة الثانية الحكم مارجع للتقنية،، اقسم بالله جالسين يدفدفون هالحم**ر للبطولة هههه
62,"Sh~eeeeeهههه
تتوقعون يعطيهم الحكم ٢٢ دقيقة وقت ضايع 🤔🤔#النصر_الاتحاد"
63,"هههه حكم حفلة 

انا في الرياض وشفتها تسلل #الاتحاد 😂😂😂"
64,"#النصر يلعب بدون محور دفاعي 

المفروض علي الحسن او الخيبري 

مع جوستافو و الصليهم 

لكن المدرب الكبير ابخص هههه"
65,فيه واحد راح المدرسه ما لقى الحارس سجل هدف هههه 😭
66,"مره والباقي تسلل هههه

 #الحب_كم_مره_بالعمر"
67,ماني هو ماني هههه واخا كان كيماركي شي بيت مكنتش كنفرح حيت عارفو غادي يكون تسلل
68,الكوره مكسب وايه هههه
69,ارأف بحال الاتحاديه مصدقين هههه فريق يلعب معه رونالدو ما بيخلونه ياخذ الدوري 🤣🤣🤣🤣 #الاتحاد #النصر
70,نمت ٢ وصحيت دحين عشان اتفرج مباراه الاهلي بس الخمول يقولي ارجه نامم هههه
71,الحين مين الفايز ؟؟؟هههه😭😂 #ختام_هجوم_نجوم
72,"اولاد اللذين عرفنا الحين من اللي منع دخول جماهير #نصر_الجزيره نهائي 2015 و 2008 و...الخ وتحديدا في ملاعب يستوطن الخدم حولها😡

إدارة الخدم حرامي تذاكر هههه

#الاتحاد_النصر 
#الاهلي_نجران
#لجنه_الانضباط_والاخلاق
وزير الرياضه
#التعاون_الهلال
خالد الغنام
سلمان الفرج
النهايي الاسيوي"
73,اعتقد وصلت الرسالة هههه 💛💙يارب النصر يفوز ويحقق الدوري وجميع البطولات اللهم امين🤲
74,اخراع دياز الحمدان ما فلح مهاجم ملعبه صانع لعب هههه
75,"خسرنا اليوم عادي .. ننتظر العالم تنافس وبعدين نجي نسرقه منهم وهم مادرو ههههـ

مخلين الدوري لكم ونلعب ع الثقيل🫵 
 #الهلال_الفتح #النصر_الاتحاد"
76,طيب هدف ثاني وين المتعه هههه م يقدرون يجيبون الثالث
77,الطواقي يقولون النصراويين شكائييين ع التحكيم وهم اكثر نادي يتشكى من التحكيم ويصايح ع التحكيم من بدايه الدوري لليوم هههه #الهلال_الفتح
78,اليوفي يقاتل للحصول على بطاقة الدوري الاوربي هههه #الدوري_الإيطالي
79,المدرب كان في غيبوبة اليوم : فيني كان سيء ، كروس سيء ، فاسكيز سيء .. كامافينغا كان ممتاز .. ماذا فعل المدرب ؟ حافظ على كروس و فيني و أخرج كاما و تأخر في اخراج فاسكيز و أدخل ناتشو هههه ثم ماذا ؟ ألفارو في الدقيقة 87 !!! اما التحكيم مقرف جدا .. السكري الضغط ↗️↗️⬆️⬆️⬆️⬆️↖️↖️↖️
80,كودي جاب عليهم اول هدف ونونيز لأول مرة يجيب هدفين  اللي كنت اتمنى يجيبهم من زمان😍😍وصلاح اول مبارة ينفجر بالدوري ويصير الهداف الناريخي كما يبي😍😍😇 ..كل هذا سوينه بمبارة اليوناتيد هههه..ايش هالفريق اللي حققت فيه اللي كل اريده و يريد لاعبين😂😂
81,عاوزين ينافسوا ع الدوري من غير ما يجددوا الجاكوزي حاجه في قمه ال هههه
82,الارجنتيني القصير المدعو مارتنيز هو سبب هدف ليفربول الأول بسبب تغطيته وحجب الرؤية على الحارس ديخيا بس يصلح حق شيلات ياخي وهو افضل مدافع حاليا هههه
83,هههه والله تبغو ن عند الاهلي  #ارحل_يالبلطان
84,الشناوي ف اول كورة راحت عليه نسي انه يقدر يمسك الكورة بإيده و طفشها بشكل غريب هههه
85,"#النصر_الباطن
المباراة منتهية للباطن ! ولكن اضاف الحكم
12دقيقه بدل ضايع عشان يفوز النصر و يبون رونالدو يسجل هههه ولاسجل ! مهزله تحكيميه !"
86,اكثر تضحيه مال امهاا داعي هانجي والكاتب يتعاطى نعال ماعاد يدري وش يسوي هههه #هجوم_العمالقه
87,اول مرة في الموسم اشوف ماتش لنابولي عشان استمتع، يخسرو تاني خسارة ليهم في الدوري هههه
88,"النصر قدام الباطن استنفر 🤣
وفزع له الحكم والمساعدين والفار ونحر الباطن بصراحه
وقالها رئيس الباطن مهزله 🤫

اجل ايش يعمل النصر بالجوهره قدام الاتحاد وحكم اجنبي هههه 🤭 هههه  راح نضحك ضحك
وحمدالله وروما راح يقولون  لرونالدو سي سي🤭😝🤣"
89,"كفارا يصنع هدف لاتسيو

مو منك يا كفارا هههه الخوف من اليوفي وما يفعل"
90,"شوف عندنا لاعبين مزيانين ولكن كاينين لاعبين W9 ماباغينهمش يلعبو والوداد هو من يدفع الثمن 
LYZB ودييييييما وداد ❤️🤍 ...
وسي المدرب يبن لينا راه هادشي باسل بزاااف 
مبروك طروا بوان وخا بحال هاد فراقي فدونور كانو يديوا 3/4 بسهولة 
كنتي كتسنى مع الدورة ونوض تنعس دابا هههه"
91,"هههه واحد كاتب ع هدف الباطن والله انه بقلبي
ههههههههه طيب شيل معاها ثلاثة النصر في قلبك 😂😂😂😂😂"
92,"قسم بالله احلى فوز في الدوري السنه هذي وغبننا فريقين دفعه واحده 
ههه ههه هه هههه قال يبي الصداره قال وذاك متعادل مع الوحده ويشجع خويه هههه ههه ههه هههااااااي"
93,ههههههه @t_alhadio والذي نفسي بيده وصلني اشعار منك تقول عطوهم شوط اضافي وانا كنت اسجل سنابه لواحد مغلوب ع امره ماكلمت الكتابه ويضيف ١٢ دقيقه الحكم 😂😂🤣 لله درك ياشيخ وصلني اشعار يقول سجلوا ثلاثه هههه انا اصلا ما اتابع مباراياتهم ولا يهموني يهمني #كبير_اسيا وبس لكن يارب سامحني
94,الحكم حسب لهم شوط ثالث هههههههه  عشان كذا مايبون حكام اجانب هههه والله لو فيه حكم اجنبي مايفوز النصر #النصر_الباطن
95,لاواضح توجه الحكم الشغل فالوقت بدل الضايع ١٢ دقيقه اصلا اللعب ماتوقف طوال الشوط هههه
96,هذا مهاجم هههه
97,فريق من 15 سنه ما ياب ولا بطوله انجازهم الوحيد يابو يوتيوبر مشهور والله حاله وفوق كل هذا يقلل من شباب الاهلي هههه نادي الشباب الي ماله وجود بطولاته اكثر عنك 🤣
98,يقال ههههه ان مهاجم برازيلي  سياتي للزعيم قريبا اي شي عنده هدف تخصص اهداف  هههههههه لا تزعلون ماودنا نزعلكم وانتم مالكم شغل لا انتم بمكانة الهلال ولا تملكون شرف (فضية) هههه المنافسه  هههههههههههه #موجلات_الهلال_يا_العفالق
99,هههه لعب فرشلونةيجيب الغثيان كلوا دفاع فدفاع #ريال_مدريد_برشلونه
100,"بغوغل السيستيم معلق
شوط ٤٥ دقيقية + وقت اضاقي ١٥ دقيقة 🤣

النتيجة 0/0
اما بالفيديو لايف النتيجة ١ صفر
هههه
غوغل اليوم سكران
او مع تيباس

إذا احتسب الحكم الهدف
ولم يلغيه
وهو تسلل
انا برشلوني 
بس انا ما بحب الاهداف السهلة او الاخطاء
بدي شوف هدف محترم مستحق يهز شباك الريال ثاني شوط"
101,"هدف البرشا والمباراة شد اعصاب ومصارعه هههه ، والله اعلم فيه كروت حمراء 

#ريال_مدريد_برشلونة"
102,الاصفر مب اصفر والتسلل مب تسلل هههه
103,"#الهلال_الوحده
اهم شيء اللي يطالبون بالعويس وجه النكبة مبسوطين الحين هههه لن يصبح المعيوف لا باللعب بالقدم ولا بالحراسة، الأهلي مكانه ومستواه

تعويض المعيوف التاريخي صعب"
104,هههه ويزعلون اذا قلنا الدوري اصعب من اسيا😭
105,"هههه عشان تعرفون ان بطولة اسيا هالسنة كذبيه..الوحدة اضعف هجوم ملقم الهلال ثلاثه اهداف 
هه والا هه .. ورانا نهائي اسيا وكأس عالم 😅
#الهلال_الوحده"
106,"عجبني ..تقنية الفيديو اكدت شرعية هدف الهلال ..
ممكن نشوف الاعادة يا مخرج ...هههه هي كذلك بطولاتهم و انجازاتهم ميروك للمسحل ع هذا الانجاز الذي يتفاخر به ..فريق يفوز باللاعب رقم ١٣#الهلال_الوحده"
107,فيه عجوز  دايم الشيبان يأتوا بطاريها تقول الوعالي يامعمور  المهم  كنت مره ف الوعالي وهبطت علي أفكار عجيبه وراحه عجيبه وتأملت مدافع الهلال الكوري يسجل هدف اليله (هو أول أهدافه ف النصر) هههه مع انه مدافع كيف اتوقع يسجل  المهم وامس اذهب لنفس المكان  وايظا انبساط وابتسم غصب  ايش السر
108,"كيف مش تسلل هههه
#ARSEVE"
109,"هههه والله حراسه الاهلي في مهب الريح الربيعي حارس ضعيف ما يعرف يمسك الكورة 

الاهلي_جدة"
110,"خwلات الاخوان ولجانهم شغالين هجوم علي اشرف السعد عشان سال سؤال منطقي
١/ليه زوار سوريا بعد ١٢سنه ماانتصروش بل اتذلوا ذل الابل وبشار عايش حياته
٢/ليه الاخوان ربنا ذلهم فوق ١٠٠ سنه ومستمر والسيسي اللي بعب.صهم قاعد معزز مكرم
فعلا اسئله منطقيه
هههه
   #اللي_بيحصل_فالبلد"
111,"وين ادارة النصر وينكم ردو 🤣

صحيح المدرب فيتوريا كسب القضيه وهي كانت 18 مليون ورحتو واستأنفتو وصار المبلغ 34 مليون معقوله هههه ايش هذا 
وين رجل القانون مسلي يطلع
يوضح للجماهير لو ماله وجه 🤔
او مخلينها 18 مليون ابرك ههه

على بالهم نفس القضايا المحليه 
يربحوها بواسطة احم احم 😉"
112,"كونوا  هانيين الحكم  التمسماني  غادي يعطيهم ضربة جزاء فدقيقة 94
وينتهى الماتش بالتعادل هههه"
113,اسولف مع محب للانمي وقلت له ان انمي الوحيد الي تابعه هجوم العمالقة و اشغلني باني مافهم شي و ان انمي ونبيس افضل انمي هههه فاضي انا اتابع انمي فوق الالف حلقة
114,أجمل هدف بحياتي كان تسلل هههه
115,"تخيل أن الفائز ب:
الدوري 
دوري الأبطال (هدافها)
كأس السوبر 
الكرة الذهبية... و الكثير 
ما يعطونه ذا بيست لا و يحطونه الثالث هههه حسبي الله عليك يالأصلع النجس"
116,تشكيلة الفيفا الحارس كورتوا. والجائزة معطينها الارجنتيني هههه
117,"الجوائز المحسومة لكاع لاعبي الارجنتين و المدرب ديالهم والواحد بلا ميتفرج ويهني راسو هههه
#TheBestAwards"
118,#حبها_قول_وفعل قول ولا هدف هههه
119,امس اقول الوالد بيطلعنا قبل الحارس واليوم انا الي بطلعهم شكلي هههه
120,"كل هدف هلالي نشوف صياح لذوليك هههه
#الهلال_الدحيل #الهلال"
121,"#الهلال_الدحيل #الهلال_الدحيل
.
موسى ماريقا يتعرض لاصابه

سلامات ياوحش

هذا اللي ينقال عنه عين وحسد

ماهو جماعة siiiiiiiii 
كل ماطاح لاعب قالوا عين وحسد

حسد على ايش ياحسره ؟😂😂😂😂😂

خف علينا ياللي مكسر اسيا ، هههه انت حدك الخامس في الدوري"
122,حتى يوم تعثر المعزّ سعود ماأخذ منه الكوره خلاه يقوم ويرميها واضح إنها منتهيه منتهيه هههه
123,الحكم كأنه رحمهم شوي هههه
124,هذا دفاع الدحيل ولا دفاعي هههه
125,هههه هذول اخس من الاهلي
126,اما هذا متصدر الدوري القطري هههه
127,"احسن شي تصدر وافرح انت مبه ميه
وفكونا من عيونكم فكونا من صياحكم

 خلونا نروق لآسيا 
واذا خلصنا عاد رجعنا نتفاهم في الدوري نشوف انت تستاهل ولا لا هههه  #متصدر_لاتكلمني"
128,"والله من كثر ماصار هجوم على مسلسل معاوية من قبل اصلا ما يطلع .
صار نفسي اشوف المسلسل حلقة حلقة هههه

عملوا دعاية اكثر من MBC"
129,هو هههه وكل حاجه  بس الاهلي هيصعد م المجموعه دي ياجدعان الكورة بتحبهم
130,"الفتره الجايه كنت متعشمه اسمع ماتشات الاهلي تفرحني ف فتره امتحاناتي وكدا هههه

لا داحنا نعتزل ما يؤذينا ومش مهم نروق ع نفسنا"
131,هاردلك انتهى الدوري رسمياً ، تبي تحقق الدوري وهذي اوراقك الرابحة هههه والله مطالبتنا بالدوري مع هالعناصر شيء مضحك ، الكل عارف احتياج الفريق الا بيريز وكارلو يكابرون والمصيبة اني واثق انه راح يجي الصيف وماراح يغطون الاحتياج
132,دفاع صنداونز جميل اوى هههه
133,"#الزمالك_الترجي 
الزمالك كان مفتكر الترقي
بتروجيت هههه"
134,هههه و يقولك ليش محد يفوز في الدوري غيرهم
135,"#النصر_ضمك
#دوري_روشن_السعودي
ما شاء الله #ضمك  فاتح الملعب ويهاجم تقول إنه ينافس على الدوري
#كريستيانو  يتمشى بين المدافعين هههه"
136,الدون راح يكون هداف الدوري..  لان الفرق تتبطح امامه..  كل شي حواليي يذكرني بدوري السويلم هههه..  هداف ع ضمك والرائد والوحدة ههههه
137,"#ضمك_النصر
هههههههههه
حلوه من معلق المباراة همش النصر ونسف اسمه من الدوري 
يعلن النتيجه بالدقيقه ٣٩ يقول رونالدو ٢ ضمك  صفر 😂😂😂😂😂
نعرف مقامكم هههه"
138,رونالدو بيخرب الدوري هههه
139,كاباك اضاع أغرب هدف ممكن تشوفه بحياتك هههه
140,"الدوري اقوى من اسيا
اخر 3 مواسم الهلال بطل الدوري
اخر 3 مواسم الهلال بطل 2 اسيا
والثالث في الطريق بإذن الله 

اخر 3 مواسم الهلال شارك في العالميه
 2 رابع العالم
1 وصيف العالم

نعم كل البطولات ضعيفه 
لماذا لايستطيعون الفوز بها ⁉️

هههه😄هههه😂هههها"
141,واحد الوقت الريال كانوا كيخرجو من دور 16 خمس سنوات على التوالي عاقل مزيان على  بنادم  محروق  و عامل جنازة فمنتديات كووورة الإسبانية  هههه  برصاوا  رجع الأمر عندهم  عادي  يخرجو من المجموعات  و  الدوري الأوروبي 😂😂
142,"المدعو ابو خالد و من على شاكلتة من الاتحاديين الذين همهم الأكبر وشغلهم الشاغل هو هبوط الأهلي و هزيمة الأهلي و كل مايخص الأهلي أمرهم بدل ما يناقشون وضع الاتحاد والمشاكل اللي في الاتحاد مثل المنشطات و التزوير و خسارة الدوري 
لقمة العيش صعبة هههه"
143,"🚨 هههه ماهي دي الحقيقة
عدلي القيعي عبر قناة الأهلي:

لو لعيبة الزمالك الثلاثة تم وضعهم في الاسكور شيت لمباراة الترجي وتم قبولهم يبقى قيدهم كان صحيح واتحاد الكرة كان ""بـيـشـتـغـلنـا""
😂😂"
144,هالكد ما الشوالي نحس ع اليونايتد بس انقطع صوته اجه هدف الفوز هههه. يا كرهي لهذا المعلق تخيلوا انه البرشا غريم الريال التاريخي!!! الا انه الشوالي يكره اليونايتد اكثر منهم 🤣🤣🤣 مدري وربي ليش
145,"الاتحاديين كانوا يقولون غارسيا ماعنده سالفة ووووو عشان مباراة التعاون رغم فوز النصر ٣ أجانب

ويمدحون نونو سانتو

التعاون خامس الدوري متساوي مع الهلال بعدد مرات الفوز بالدوري 

نونو  على أرضة وبين جمهوره تعادل مع الرائد هههه مركزه ١١ بالدوري ب ٦ اجانب

#النصر_ضمك"
146,برونو يحسب بالدي الكوره هههه يعني عشوائي
147,"#الاتحاد_الرايد
مشجع اتحادي يقول لمدرب الرائد فاكيو هههه عشانه لعب دفاع اجل وش نقول عنك يوم لعبت مع النصر دفاع يامنبطح"
148,يبدو لي ان موسم النصر انتهى. بدون تاليسكا وفي منعطف الدوري واخر مراحلة تفقده. وحلولك النجعي وايمن يحيى هههه💔
149,"المشكلة مو في الحكم 
المشكلة في المدرب السباك 
والادارة اللي عندها مهر آسيا جوانكا هههه
 #الشباب_الدحيل
اقسم بمن احل القسم انتوا السبب في الخروج من كأس الملك والآن آسيا 
والدوري وربي ماتحلم بالرابع في نهاية الموسم لو ماتغير المدرب وطرد جوانكا 
@kholaifhweshan 
@Talal_Alshaikh"
150,هههه المصريين وخاصة الاهلي صدقوا نفسهم الريال لعب معاكم بربع جنيه كانه بيدرب لاتصدقوا نفسكم يا طعمية
151,هههه اغرب هدف تعادل وحظ عجيب #ليفربول_ريال_مدريد
152,"هههه بس شغلت اللعبة سجلو هدف 
🤣 ولله  نت مقطوع كان #ليفربول_ريال_مدريد"
153,"احد الاخوان يسأل يقول وين جماهير العاصمه قبل عشر سنين الدره والملز كانت تشكي وتبكي من قله الزوار هههه وقتها امهاتهم يخلونهم يشخون قبل لا ينامون 

فهمتوها يعني جماهيرهم صغار وماعرفوا الكوره الا من الفين واربعطعش وجاي"
154,شباب الأهلي بالله ذا اسم نادي هههه
155,"غريبه زعلانين ان الهلال ماطلع الكوره هههه طيب عادي يعني فيه اصابات معينه تستدعي ايقاف اللعب مب كل لقطه ولا ماكان خلصنا 

عموما القم الثالث ياغالي ولايكثر"
156,"غريبه زعلانين ان الهلال ماطلع الكوره هههه طيب عادي يعني فيه اصابات معينه تستدعي ايقاف اللعب مب كل لقطه ولا ماكان خلصنا 

عموما القم الثالث ياغالي ولايكثر"
157,المدرب ليش ماينزل سالم ؟ اوه طلع موجود معليش هههه
158,خليفة يترك الكورة يروح يطق اللاعب هههه.
159,لاعبين الاهلي يشتكون من الالتحامات والتداخلات   لفريق الهلال السوداني    للاسف تصريح مخزي من فريق اعتاد ان الحكام يلوم لاعبين الخصم  علي تداخلهم علي لاعبي الاهلي ممثل مصر هههه
160,"#حق_الاهلي_فين ؟
الاهلي الذي يتغول علي حقوق منافسيه المحليين قبل القاريين!! هههه
واين حق الهلال الذي لا يحرم من جمهوره الا فقط في مبارياتة مع الاهلي ؟
مشكلة الجهلي هو عدم تقبل الهزيمة والبحث عن اسبابها الموضوعية والمنطقية والهروب الي اوهام المؤامرة المتعود هو علي فعلها مع خصومة"
161,يا بخت جمهور الاهلي بجمهوره..وددت ان اكون اهلاويا اليوم ولكن القطار وفاتنا هههه
162,"هسا سؤال جد اطلع من قاموسي فكرة اني ممكن اخذ الرخصه من اول مره؟ 
حاطها هدف هههه"
