,tweet
135,"البعثة المصرية تحصد 19 ميدالية في أول أيام بطولة شمال إفريقيا للكاراتيه في تونس
#أخبار_ONTime https://t.co/ORcHA4Syhx"
136,12 مرشحا يخوضون الانتخابات التكميلية باتحاد الكرة يوم 26 نوفمبر
137,"عامر حسين يطير للسعودية لحضور قرعة دور الـ 16 للبطولة العربية

يحضر عامر حسين رءيس لجنة المسابقات باتحاد الكرة ، فعاليات سحب قرعة دور ال١٦ بالبطولة العربية المقرر أقامتها في السعودية غدا السبت ، حيث يتوجه الي المملكة العربية السعودية خلال الساعات المقبلة"
138,"موسيماني يستقر على الدفع بكريم فؤاد أمام الرجاء.. وأميان الفرنسي يعرض مليون و300 ألف دولار لضم بادجي نهائيا
#أخبار_ONTime https://t.co/ZgbTBMImw8"
139,حكام مباراة الرجاء والاتحاد في الجولة الأخيرة للدوري: عاطف حسين ويعاونه تامر سمير وحسام عبد العاطي، وحسن محمود حكماً رابعاً، وكل من بدوي حميدة وهشام الفلال حكماً خامساً.
140,"شيما صابر تستعرض أسماء أبطال مصر أصحاب الميداليات في دورة ألعاب البحر المتوسط 

#أخبار_ONTime https://t.co/F186pIJ5ly"
141,طاقم تحكيم برتغالي لمباراة السوبر
142,تلقى اتحاد الكرة موافقة الأمن على إقامة مباراة المصرى البورسعيدى أمام الفائز من ساليتاس البوركينابى وواكريا أتلتيك الغينى ضمن منافسات دور الـ32 بالكونفدرالية، على استاد بورسعيد.
143,"طلب وتحذير.. اعرف فيريرا عمل ايه مع لاعبي الزمالك قبل مواجهة انبي
#أخبار_ONTime https://t.co/Px3DGa89uK"
144,"طارق الأدور: بطولة دوري أبطال أفريقيا ستكون قوية هذا الموسم .. ويشرح نظام القرعة وسبب تواجد الزمالك بدور الـ 64 👇🔥

#أخبار_ONTime https://t.co/XdpordPjHF"
145,"الزمالك يحلم بالفوز لعودة الثقة ومصالحة الجماهير
رفع خالد جلال، المدير الفنى للفريق الأول لكرة القدم بنادي الزمالك، شعار لا بديل عن الفوز أمام الأهلى"
146,"الزمالك يدرس رفع العقوبة المالية عن اللاعبين واستمرارها على كارتيرون 
#أخبار_ONTime 
#كلنا_ورا_منتخب_مصر https://t.co/D1GBw4d0X2"
147,"هجمه خطيرة على منتخب مصر ولكن تصدى رائع لعصام الغندور .....

#بالكأس_راجعين"
148,إنجلترا تقلب تأخرها 0-2 وتهزم المانيا 3-2 وديا في برلين
149,"جوووووول ..... الهدف الاول لمنتخب غانا على نظيره المنتخب المالى 

شجع وعيش الكان"
150,"شيما صابر تكشف آخر تطورات مفاوضات الزمالك مع أسوان لضم ""بلحاج"" .. وهذا موقف أيمن الرمادي مدرب زهرة الجنوب من رحيل اللاعب ⬇️⚽️
#أخبار_ONTime https://t.co/JEMggKMDJS"
151,رئيس نادي الزمالك يعلن تجديد عقد أحمد سيد زيزو لمدة 3 مواسم
152,2- فيما يلتقي يوم السبت المقبل الموافق 10 فبراير الحالي الأسيوطي مع النصر ، وسموحة مع الزمالك ، ويلتقي يوم الاثنين المقبل الموافق 12 فبراير الحالي طنطا مع طلائع الجيش ، والأهلي مع المقاولون العرب .. يتبع
153,ميدو: صلاح رمز لكل المصريين وعاجبني جدا أنه مبيستخباش وقت الجد
154,"قائمتي الأهلي والزمالك لمواجهتهما بنصف نهائي بطولة إفريقيا لكرة اليد 🦅🏹
#أخبار_ONTime https://t.co/ESTdp4uxrh"
155,"طارق مصطفى يتحدث فنيًا على المواجهة المرتقبة بين الزمالك والوداد في دوري أبطال إفريقيا 
#أخبار_ONTime https://t.co/ZZHvyeCff3"
156,"فيفا يحدد موعد مناقشة شكوى مصر بشأن إعادة مباراة السنغال
#أخبار_ontime https://t.co/Ny0azzBK8o"
157,عاجل: محمد إبراهيم يغادر معسكر الزمالك بعد معرفته بعدم تواجده في قائمة ال18 لـ مباراة الأهلي
158,حان الان موعد اذان الفجر حسب التوقيت المحلى لمدينة القاهرة
159,خالص العزاء للنجم الكبير بادو الزاكي حارس مرمي ومدرب المنتخب المغرب السابق في وفاة المغفور لها زوجته
160,"محمد فضل: ""موسيماني رقم واحد"
161,"تشكيل المنتخب الاولمبي امام الامارات:
عمرو رضوان لحراسة المرمي وكريم العراقي وعصام جمعة ومروان النجار ومحمود صابر واسامة جلال  وامام عاشور واحمد فتوح وناصر ماهر وطاهر محمد ومصطفي محمد"
162,رسميا ..مجلس الجبلاية يعتمد قائمة الـ30 لاعبا
163,أزمة في بيراميدز على شارة الكابتن
164,ظبطوا نومكم بعد رمضان ولا لسه؟
165,"تقارير سويسرية تؤكد اقتراب كولر من تدريب الأهلي
#أخبار_ONTime https://t.co/eTYf0BNVKM"
166,مبروك فوز أبطال منتخب مصر لكرة اليد على منتخب البحرين
167,"يا ولد.. هكذا هنأ جدو وشريف إكرامى الحاوى بهدف التأهل لنهائى أفريقيا

حرص شريف إكرامى، حارس النادى الأهلى، ومحمد ناجى جدو، لاعب منتخب مصر السابق، على تهنئة وليد سليمان، بهدفه الذى ساهم فى صعود النادى الأهلى"
168,"الخطيب يطالب لاعبى الأهلى بالتركيز قبل مواجهة الترجى بالنهائى الأفريقى

حث محمود الخطيب رئيس النادى الأهلى لاعبي فريقه على التركيز في مباراة الترجى، وعدم الانشغال بأية أمور أخرى خارجة عن الملعب خلال اللقاء المُرتقب"
169,"محسن صالح: ""كوبر"" رفض إعطاء صوته لـ""صلاح""

كشف محسن صالح المدير الفنى السابق للمنتخب والمحلل الرياضى فى قنوات أبو ظبى الرياضية أن المدير الفنى السابق للمنتخب المصرى الأرجنتنينى هيكتور كوبر رفض منح صوته للنجم محمد صلاح"
170,"الزمالك راح الماتش متأخر والأهلي استغل الموقف جيدا 🔴⚪ طارق يحيى يوضح أسباب هزيمة الزمالك بالأمس أمام الأهلي 🎥👇
#أخبار_ONTime https://t.co/YnkzNX6FdW"
171,خاص - حمد إبراهيم أبرز المرشحين لتدريب الإسماعيلي
172,"نوران جوهر تتوج ببطولة أمريكا المفتوحة للاسكواش للمرة الثالثة في تاريخها

#أخبار_ONTime https://t.co/s3LQ8AY951"
173,اخطر 20 دقيقه ع الاهلي حذاااارى
174,اندية البريميرليج تصدر بيان تطالب بمنع مشاركة لاعبيها في الدول ذات المنطقه الحمراء كده اصبح مؤكد غياب محمد صلاح عن المنتخب
175,"الأهلي يقدم المدير الفني الجديد ""ريكاردو سواريس"" في مؤتمر صحفي غدًا 🦅
#أخبار_ONTime https://t.co/mmGnBsNkIA"
176,أحمد الشناوي: اختلف مع كلاتنبرج ومتمسك بعدم وجود ركله جزاء ضد ابو جبل وركله جزاء لزيزو
